Week No,Date,Time,Temperature (0C),Humidity(%),Soil Moisture level1,Soil Moisture level2,Motor On/Off,
1st Week,3/24/2023,08.30 a.m.,30,72,0,0,On,
,,06.00 p.m.,29,68,1,1,Off,
,3/25/2023,08.00 a.m.,31,69,0,1,On,
,,06.45 p.m.,32,71,1,1,Off,
,3/26/2023,07.30 a.m.,30,72,1,1,On,
,,05.30 p.m.,32,72,1,0,On,
,3/27/2023,08.15 a.m.,32,72,0,1,On,
,,06.00 p.m.,32,69,1,1,Off,
,3/28/2023,08.20 a.m.,35,71,1,0,On,
,,06.00 p.m.,34,71,0,0,On,
,3/29/2023,07.30 a.m.,33,71,1,0,On,
,,06.00 p.m.,34,70,1,0,On,
,3/30/2023,08.30 a.m.,35,72,1,1,On,
,,06.15 p.m.,34,70,0,1,On,
2nd Week,3/31/2023,08.10 a.m.,35,71,1,1,On,
,,07.45 p.m.,32,71,0,0,Off,
,4/1/2023,07.30 a.m.,33,72,1,0,On,
,,06.30 p.m.,34,71,0,0,On,
,4/2/2023,08.30 a.m.,30,71,1,0,Off,
,,06.30 p.m.,33,71,0,1,On,
,4/3/2023,09.00 a.m.,35,72,1,1,Off,
,,06.00 p.m.,34,73,1,0,On,
,4/4/2023,07.30 a.m.,33,74,1,1,Off,
,,06.00 p.m.,34,74,1,0,On,
,4/5/2023,08.15 a.m.,35,74,0,0,On,
,,06.00 p.m.,33,74,1,1,Off,
,4/6/2023,08.20 a.m.,34,74,1,0,On,
,,06.00 p.m.,32,75,0,0,On,
3rd Week,4/7/2023,07.30 a.m.,33,75,1,0,On,
,,06.00 p.m.,34,77,0,1,On,
,4/8/2023,08.30 a.m.,35,77,1,0,On,
,,06.15 p.m.,34,77,1,0,On,
,4/9/2023,08.10 a.m.,35,68,0,1,On,
,,06.15 p.m.,34,69,1,1,Off,
,4/10/2023,07.30 a.m.,33,69,1,0,On,
,,06.30 p.m.,34,73,0,0,On,
,4/11/2023,08.30 a.m.,35,76,0,0,On,
,,06.30 p.m.,34,76,1,0,On,
,4/12/2023,07.30 a.m.,34,75,0,1,On,
,,06.00 p.m.,34,75,1,0,On,
,4/13/2023,08.30 a.m.,35,75,1,1,Off,
,,06.15 p.m.,33,75,0,0,On,
,4/14/2023,07.20 a.m.,34,76,1,0,On,
,,06.30 p.m.,35,68,0,1,On,
4th Week,4/15/2023,08.10 a.m.,35,69,0,1,On,
,,06.15 p.m.,35,69,0,0,Off,
,4/16/2023,08.15 a.m.,35,69,0,1,On,
,,06.00 p.m.,33,72,1,1,Off,
,4/17/2023,08.20 a.m.,34,74,1,0,On,
,,06.00 p.m.,32,75,0,0,On,
,4/18/2023,07.30 a.m.,33,75,0,1,On,
,,06.00 p.m.,34,77,0,0,Off,
,4/19/2023,08.30 a.m.,35,77,1,0,On,
,,06.15 p.m.,34,77,1,1,Off,
,4/20/2023,07.30 a.m.,34,75,0,0,On,
,,06.00 p.m.,34,75,1,1,Off,
,4/21/2023,08.30 a.m.,35,75,1,0,On,
,,06.15 p.m.,33,75,0,1,On,
5th Week,4/22/2023,07.30 a.m.,33,75,0,1,On,
,,06.00 p.m.,34,77,1,0,On,
,4/23/2023,08.20 a.m.,34,74,0,1,On,
,,06.00 p.m.,32,75,1,1,Off,
,4/24/2023,07.30 a.m.,33,75,1,0,On,
,,06.00 p.m.,34,77,0,0,On,
,4/25/2023,08.30 a.m.,35,77,0,1,Off,
,,06.15 p.m.,34,77,1,0,On,
,4/26/2023,08.10 a.m.,35,71,1,1,Off,
,,07.45 p.m.,32,71,0,0,On,
,4/27/2023,07.30 a.m.,33,72,1,0,On,
,,06.30 p.m.,34,71,0,0,On,
,4/28/2023,08.30 a.m.,35,71,1,0,On,
,,06.30 p.m.,33,71,0,1,On,
6th Week,4/29/2023,09.00 a.m.,35,72,1,1,Off,
,,06.00 p.m.,34,73,1,0,On,
,4/30/2023,07.30 a.m.,33,74,1,1,Off,
,,06.00 p.m.,34,74,1,0,On,
,5/1/2023,08.15 a.m.,35,74,0,0,On,
,,06.00 p.m.,33,69,1,1,Off,
,5/2/2023,08.20 a.m.,34,69,1,0,On,
,,06.00 p.m.,32,68,0,0,On,
,5/3/2023,08.30 a.m.,30,70,0,0,On,
,,06.00 p.m.,29,72,1,1,Off,
,5/4/2023,08.00 a.m.,31,72,0,1,On,
,,06.45 p.m.,32,71,0,0,On,
